iter	MultiClass
0	1.0768269
1	1.057502927
2	1.040029892
3	1.024403075
4	1.010625786
5	0.9977919004
6	0.9860261512
7	0.97552179
8	0.9662212919
9	0.9535346871
10	0.9382568417
11	0.9233691191
12	0.9112644001
13	0.8964076013
14	0.8874363027
15	0.8770987196
16	0.8678338156
17	0.8593692315
18	0.8537194607
19	0.8456707497
20	0.8409904543
21	0.8365500007
22	0.8286938338
23	0.8249349541
24	0.8219210433
25	0.8143026387
26	0.8109810225
27	0.8081688916
28	0.8053841588
29	0.7969443813
30	0.7942159147
31	0.790761943
32	0.7855736445
33	0.7812822259
34	0.7794980024
35	0.777259722
36	0.7756277602
37	0.7740301737
38	0.7718453145
39	0.7620447723
40	0.7605462378
41	0.7553838047
42	0.7541869349
43	0.7530850828
44	0.7516505288
45	0.7439904793
46	0.734371721
47	0.7245965199
48	0.7237439573
49	0.722829082
50	0.7219139262
51	0.712861255
52	0.7056946112
53	0.7043146932
54	0.6956769003
55	0.6947600513
56	0.6934107208
57	0.692678408
58	0.6917349347
59	0.6909606062
60	0.6845094034
61	0.6833796874
62	0.6778127232
63	0.6759253572
64	0.6692111336
65	0.6666847687
66	0.666080814
67	0.6599246604
68	0.6572307455
69	0.6566033386
70	0.6561685374
71	0.6552985683
72	0.6525015684
73	0.6461446336
74	0.6454361835
75	0.6449157903
76	0.643816891
77	0.6407546958
78	0.6388243212
79	0.6382331243
80	0.6350434254
81	0.6336530164
82	0.6331462092
83	0.6304625907
84	0.6295505122
85	0.6253255957
86	0.6247687366
87	0.6241034623
88	0.6214350353
89	0.6213791641
90	0.6160226529
91	0.6152542755
92	0.6145795724
93	0.6128153552
94	0.612342296
95	0.6115742786
96	0.6108575297
97	0.6089980105
98	0.6081643553
99	0.6035654136
100	0.6035198714
101	0.6031258397
102	0.6026265527
103	0.6025817701
104	0.602131907
105	0.600530673
106	0.6000132513
107	0.5999804792
108	0.599571925
109	0.5992373766
110	0.593944567
111	0.5938434469
112	0.5933064587
113	0.5906433051
114	0.5879682494
115	0.5874301282
116	0.5855270202
117	0.5848006654
