iter	Passed	Remaining
0	1346	537215
1	2621	521675
2	3798	502717
3	5087	503671
4	6512	514456
5	7741	508349
6	8924	501024
7	10234	501478
8	11581	503138
9	12816	499848
10	14095	498464
11	15435	499075
12	16875	502360
13	18348	505888
14	19631	503887
15	20988	503718
16	22331	503110
17	23670	502342
18	24825	497826
19	26179	497408
20	27422	494904
21	28526	490130
22	29884	489851
23	31076	486857
24	32240	483612
25	33599	483315
26	34889	481996
27	36010	478425
28	37255	476608
29	38628	476418
30	39800	473749
31	40999	471499
32	42205	469372
33	43415	467354
34	44614	465263
35	45748	462572
36	46854	459680
37	47941	456705
38	49080	454305
39	50410	453690
40	51517	451096
41	52809	450136
42	53923	447688
43	54963	444704
44	56136	442857
45	57348	441336
46	58621	440283
47	59828	438739
48	60921	436395
49	62078	434551
50	63237	432745
51	64654	432684
52	66121	432911
53	67386	431771
54	68756	431288
55	69845	429050
56	71064	427633
57	72173	425572
58	73329	423820
59	74388	421537
60	75624	420273
61	76832	418861
62	78084	417691
63	79235	415984
64	80565	415222
65	81890	414413
66	83093	412989
67	84408	412110
68	85700	411113
69	86863	409500
70	87944	407516
71	89148	406123
72	90389	404893
73	91819	404499
74	93092	403402
75	94293	401987
76	95494	400579
77	96926	400131
78	98106	398635
79	99334	397339
80	100650	396388
81	101891	395140
82	103010	393427
83	104299	392363
84	105548	391150
85	106930	390420
86	108039	388695
87	109210	387202
88	110405	385800
89	110708	381329
90	112133	380759
91	113249	379138
92	114412	377683
93	115535	376106
94	116636	374463
95	117765	372924
96	118835	371206
97	120068	370007
98	121333	368902
99	122736	368209
100	122979	364066
101	124149	362711
102	125299	361300
103	125616	357522
104	126738	356076
105	127998	355015
106	129189	353761
107	129511	350159
108	130590	348639
109	131745	347330
110	133196	346789
111	133679	343748
112	134893	342605
113	136440	342297
114	137737	341349
115	138851	339946
116	140161	339022
117	141411	337948
118	142834	337280
119	143062	333811
120	144509	333207
121	145792	332216
122	147148	331383
123	148414	330342
124	149693	329326
125	151125	328639
126	152354	327502
127	153427	326033
128	154660	324906
129	155808	323601
130	156095	320532
131	157427	319626
132	157744	316675
133	158883	315395
134	160307	314676
135	161804	314091
136	163094	313094
137	163462	310341
138	164591	309052
139	165680	307692
140	166792	306378
141	167901	305061
142	169181	304053
143	169347	301062
144	170433	299727
145	170832	297201
146	172132	296255
147	173173	294863
148	174734	294351
149	175957	293262
150	177128	292086
151	178359	291006
152	179672	290059
153	180986	289108
154	182211	288011
155	182354	285221
156	183512	284034
157	184721	282927
158	185018	280437
159	186107	279161
160	186403	276710
161	186729	274330
162	187942	273265
163	189212	272280
164	190412	271193
165	191532	269992
166	191775	267566
167	192802	266250
168	194129	265349
169	195410	264378
170	196834	263597
171	198320	262889
172	198939	261036
173	200291	260148
174	201479	259044
175	202311	257487
176	203590	256500
177	204845	255481
178	206220	254607
179	206453	252331
180	207678	251279
181	207916	249042
182	209215	248085
183	210460	247062
184	211720	246053
185	212931	244985
186	214238	244025
187	214408	241779
188	215779	240896
189	216996	239838
190	218234	238801
191	219567	237864
192	220894	236918
193	222167	235909
194	223169	234613
195	224305	233461
196	224782	231629
197	226035	230601
198	227253	229536
199	228658	228658
200	230001	227713
201	231067	226492
202	232251	225386
203	233411	224258
204	234644	223198
205	235715	221984
206	236038	220074
207	237115	218876
208	238484	217945
209	239757	216923
210	240895	215778
211	242286	214857
212	243370	213663
213	243496	211636
214	244844	210680
215	246002	209557
216	247188	208458
217	248329	207320
218	249384	206112
219	249702	204301
220	250970	203274
221	252352	202336
222	253542	201242
223	253750	199375
224	254940	198287
225	256149	197212
226	257356	196135
227	258459	194978
228	258620	193118
229	259841	192056
230	261169	191071
231	262426	190033
232	263857	189116
233	265092	188057
234	266324	186994
235	266841	185432
236	267050	183667
237	268088	182480
238	269216	181355
239	270439	180293
240	271754	179290
241	273079	178291
242	274168	177137
243	275273	175994
244	276478	174914
245	277644	173810
246	278727	172652
247	279940	171576
248	281155	170499
249	282269	169361
250	283404	168236
251	284753	167236
252	285913	166123
253	287107	165030
254	288178	163866
255	289592	162895
256	291035	161937
257	292282	160868
258	293502	159783
259	294809	158743
260	295943	157609
261	297074	156474
262	298319	155398
263	299347	154209
264	300479	153074
265	301826	152047
266	303240	151052
267	304562	150008
268	305752	148898
269	306802	147719
270	307890	146560
271	308910	145369
272	309990	144208
273	311151	143084
274	312268	141940
275	313445	140823
276	314733	139755
277	315970	138663
278	317061	137506
279	318196	136369
280	319503	135305
281	320612	134156
282	321639	132974
283	322769	131835
284	323907	130699
285	325037	129560
286	326203	128435
287	327341	127299
288	328584	126203
289	329707	125061
290	330779	123900
291	332092	122828
292	333203	121681
293	334483	120596
294	335794	119520
295	336863	118357
296	338274	117314
297	339430	116180
298	340460	115005
299	341743	113914
300	342970	112804
301	344401	111759
302	345494	110604
303	346900	109547
304	348194	108454
305	349431	107341
306	350588	106204
307	351821	105089
308	353037	103968
309	354260	102849
310	355760	101809
311	356731	100616
312	357925	99487
313	358975	98318
314	360148	97182
315	361156	96003
316	362356	94875
317	363763	93800
318	365182	92726
319	366511	91627
320	367680	90488
321	369046	89396
322	370271	88269
323	371444	87128
324	372586	85981
325	373592	84803
326	374862	83684
327	375948	82525
328	376959	81349
329	378186	80221
330	379496	79109
331	380585	77951
332	381844	76827
333	383219	75725
334	384582	74620
335	385896	73504
336	386956	72339
337	388293	71225
338	389658	70115
339	390854	68974
340	392290	67874
341	393508	66735
342	394639	65581
343	395717	64419
